Time (UTC),Latitude,Longitude,Depth (Sonar),Temperature (°C),pH,Depth (m),Conductivity (uS/cm),Dissolved Oxygen Saturation,Dissolved Oxygen Concentration (mg/L),Chlorophyll (ug/L),CDOM (ppb),Turbidity (NTU)
1734467723.0117135,33.4304952,-111.9284377,0.8130000233650208,14.53,9.11,0.05,1544,132.3,12.98,20.13,0.09,
1734467724.0117345,33.4304975,-111.9284386,4.136000156402588,14.53,9.10,0.04,1544,132.3,12.98,21.18,0.15,
1734467725.012243,33.4304996,-111.9284396,4.136000156402588,14.53,9.10,0.05,1544,132.3,12.98,21.10,0.15,
1734467726.0121038,33.4305017,-111.9284402,4.63700008392334,14.53,9.11,0.05,1544,132.3,12.98,21.11,0.13,
1734467727.011443,33.4305039,-111.9284411,0.6269999742507935,14.53,9.10,0.05,1544,132.3,12.98,22.42,0.14,
1734467728.0116067,33.4305054,-111.9284418,0.6460000276565552,14.53,9.10,0.05,1544,132.3,12.98,23.23,0.14,
1734467729.0116444,33.430507,-111.9284423,0.7099999785423279,14.53,9.10,0.05,1544,132.3,12.98,21.05,0.17,
1734467730.0122995,33.4305085,-111.9284429,0.7250000238418579,14.53,9.10,0.05,1544,132.3,12.98,21.07,0.15,
1734467731.0117574,33.43051,-111.9284434,0.7110000252723694,14.52,9.10,0.05,1544,132.3,12.98,19.86,0.23,
1734467732.012032,33.430511,-111.928444,0.7310000061988831,14.52,9.10,0.05,1544,132.3,12.99,20.55,0.14,
1734467733.0113149,33.4305119,-111.9284443,0.7820000052452087,14.51,9.10,0.04,1545,132.3,12.99,17.92,0.12,
1734467734.011312,33.4305134,-111.9284444,0.7639999985694885,14.51,9.11,0.05,1545,132.3,12.99,18.53,0.12,
1734467735.0120592,33.4305156,-111.9284444,0.7689999938011169,14.51,9.10,0.05,1544,132.3,12.99,19.10,0.18,
1734467736.0118551,33.4305163,-111.9284446,0.8640000224113464,14.51,9.10,0.05,1544,132.3,12.99,19.03,0.21,
1734467737.0118818,33.4305174,-111.9284449,0.7639999985694885,14.51,9.10,0.05,1544,132.3,12.99,19.87,0.14,
1734467738.0124729,33.4305182,-111.9284452,0.7829999923706055,14.51,9.10,0.05,1544,132.3,12.99,20.93,0.13,
1734467739.011924,33.4305184,-111.9284454,0.8059999942779541,14.51,9.10,0.05,1544,132.3,12.99,20.59,0.07,
