type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,1.4938,1.2201,1546.0663,1.7839,0.844272,False
cold,1.2482,-1.5750,1547.5579,1.3638,0.867256,False
hot,-1.5143,-0.0044,1554.8687,0.6949,0.868590,False
hot,0.5730,-0.4037,1554.7330,0.6568,0.875104,False
cold,2.0770,0.0754,1547.8499,1.2816,0.883633,False
cold,-0.8697,0.1020,1551.4020,0.2813,0.890181,False
hot,0.0818,-0.6966,1554.7231,0.6540,0.901038,False
cold,0.6650,-1.4419,1547.4340,1.3987,0.903495,False
hot,1.3710,-0.6699,1553.8094,0.3967,0.909446,False
hot,-0.2865,-0.1375,1554.7560,0.6632,0.911897,False
hot,2.1077,-1.4419,1554.0698,0.4700,0.919445,False
hot,-1.5143,1.4331,1554.1208,0.4844,0.927218,False
hot,-1.5143,1.4597,1554.1208,0.4844,0.935263,False
cold,0.1432,-0.1642,1553.6948,-0.3644,0.950607,False
cold,-0.3786,1.3798,1552.9043,-0.1418,0.973666,False
hot,-0.6548,2.0453,1553.9690,0.4416,0.980942,False
cold,-0.3172,-1.2290,1547.5914,0.0000,1.000000,False
