type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-0.3316,-1.2761,1458.2812,6.4306,0.012282,True
cold,-1.4023,-0.8166,1458.4146,6.3634,0.013746,True
cold,0.4715,-1.0208,1459.7858,5.6718,0.031617,True
hot,-0.4463,1.4296,1478.5980,3.8159,0.231884,False
hot,-1.0964,0.4086,1478.0930,3.5612,0.272374,False
hot,1.8481,1.2764,1477.8269,3.4270,0.305075,False
hot,0.5480,0.2809,1477.6500,3.3378,0.321677,False
hot,1.1216,1.8890,1477.3345,3.1786,0.355760,False
cold,0.7009,1.1488,1474.6545,-1.8270,0.997316,False
