type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
hot,3.1093,2.9984,9.0919,-0.0000,0.940180,False
hot,3.4710,2.1925,9.0919,-0.0000,0.940181,False
hot,3.3625,2.3197,9.0919,-0.0000,0.940192,False
hot,3.4348,2.7015,9.0919,-0.0000,0.940199,False
cold,-1.2668,-3.0252,9.0919,0.0000,0.940207,False
hot,3.3986,2.8712,9.0919,-0.0000,0.940223,False
cold,3.2901,2.8712,9.0919,0.0000,0.940227,False
cold,3.4710,2.9136,9.0919,0.0000,0.940229,False
hot,3.0731,2.6167,9.0919,-0.0000,0.940238,False
cold,3.2178,2.9560,9.0919,0.0000,0.940244,False
hot,3.2178,2.5742,9.0919,-0.0000,0.940283,False
cold,3.3625,2.7439,9.0919,0.0000,0.940300,False
cold,3.1816,2.7439,9.0919,0.0000,0.940306,False
hot,3.3625,2.6167,9.0919,-0.0000,0.940307,False
cold,-1.5923,-2.8555,9.0919,0.0000,0.940327,False
hot,-1.7731,-2.9403,9.0919,-0.0000,0.940330,False
hot,-1.6285,-2.9828,9.0919,-0.0000,0.940330,False
hot,2.9646,3.1257,9.0919,-0.0000,0.940350,False
cold,3.1455,2.7015,9.0919,0.0000,0.940353,False
hot,-1.5923,-2.9828,9.0919,-0.0000,0.940369,False
cold,3.3986,2.4894,9.0919,0.0000,0.940370,False
cold,3.1455,3.1257,9.0919,0.0000,0.940393,False
cold,3.4710,2.4046,9.0919,0.0000,0.940393,False
hot,3.1816,2.8712,9.0919,-0.0000,0.940394,False
cold,3.3625,3.0409,9.0919,0.0000,0.940418,False
cold,-1.4838,-3.1100,9.0919,0.0000,0.940434,False
hot,3.1455,2.7439,9.0919,-0.0000,0.940438,False
cold,3.1455,2.8712,9.0919,0.0000,0.940459,False
cold,3.2540,2.9984,9.0919,0.0000,0.940469,False
cold,-0.3627,-3.1100,9.0919,-0.0000,0.940473,False
cold,3.2901,2.8288,9.0919,0.0000,0.940487,False
cold,-1.8455,-2.5586,9.0919,0.0000,0.940491,False
hot,3.2178,2.4470,9.0919,-0.0000,0.940493,False
hot,3.3986,2.1500,9.0919,-0.0000,0.940517,False
cold,3.0731,3.0409,9.0919,0.0000,0.940524,False
cold,3.4348,2.7863,9.0919,0.0000,0.940527,False
cold,2.9285,2.9560,9.0919,0.0000,0.940536,False
cold,-1.4838,-2.8555,9.0919,0.0000,0.940542,False
cold,3.2540,3.0409,9.0919,0.0000,0.940542,False
cold,-1.7008,-3.0252,9.0919,0.0000,0.940568,False
cold,-1.2307,-3.0252,9.0919,0.0000,0.940571,False
hot,3.2901,2.8288,9.0919,-0.0000,0.940574,False
hot,3.2901,2.9136,9.0919,-0.0000,0.940595,False
cold,-1.5200,-2.8979,9.0919,0.0000,0.940604,False
hot,2.6030,2.7439,9.0919,0.0000,0.940610,False
hot,3.4348,2.2349,9.0919,-0.0000,0.940611,False
cold,3.1093,3.0409,9.0919,0.0000,0.940614,False
cold,-1.5200,-3.0676,9.0919,0.0000,0.940620,False
