type,lat_scaled,lon_scaled,height,standardized_height,pvalue,significant
cold,-0.6049,-1.8846,1541.7692,2.3647,0.000895,True
hot,-0.9868,1.7748,1544.0968,1.8055,0.013933,True
hot,-0.2706,-1.0042,1543.5543,0.8336,0.410162,False
cold,1.7346,-0.0412,1542.8435,0.4399,0.724769,False
hot,0.9468,-0.4264,1543.2969,0.3723,0.777476,False
cold,-0.5810,-0.2613,1542.8898,0.3570,0.783589,False
hot,1.2572,1.0319,1543.2662,0.3174,0.809015,False
hot,1.2811,1.0319,1543.2662,0.3174,0.810810,False
cold,0.1591,0.0964,1542.9302,0.2846,0.823982,False
cold,0.1352,0.0964,1542.9302,0.2846,0.829610,False
cold,0.1591,0.1239,1542.9302,0.2846,0.831170,False
cold,-0.7720,0.7567,1542.9365,0.2733,0.837212,False
hot,2.2837,-1.8846,1543.0890,-0.0001,0.941705,False
hot,2.0450,-1.8846,1543.0889,-0.0003,0.941711,False
hot,1.8301,-1.8846,1543.0890,-0.0001,0.942010,False
hot,2.0450,-1.8571,1543.0889,-0.0003,0.943151,False
hot,1.8062,-1.8846,1543.0890,-0.0001,0.943374,False
